pulls	output		
0	4651348	66.93	96.778
100	4656400	68.815	99.777
200	4661508	73.623	100.219
300	4670108	79.239	103.227
400	4676624	84.322	104.677
500	4682536	89.63	105.477
600	4688256	94.538	105.969
700	4694296	99.23	105.202
800	4703004	108.126	107.26
900	4709468	114.62	105.96
1000	4716888	120.578	108.027
1100	4723288	126.865	106.877
1200	4729288	131.968	106.919
1300	4739604	139.718	107.502
1400	4744548	145.184	109.243
1500	4750536	152.533	108.802
1600	4758036	157.37	110.335
1700	4763464	162.915	109.135
1800	4770024	168.619	110.143
1900	4776204	175.115	109.16
2000	4782960	182.155	110.735
2100	4790012	187.709	110.035
2200	4795420	193.575	110.235
2300	4800708	198.179	110.602
2400	4806920	204.824	110.727
2500	4816856	212.424	111.376
2600	4824588	219.369	112.11
2700	4833332	228.085	111.951
2800	4842556	235.814	113.335
2900	4850012	243.309	112.61
3000	4857200	251.033	113.81
3100	4865076	259.491	113.043
3200	4872952	267.507	114.501
3300	4881140	274.998	114.401
3400	4890972	284.472	114.526
3500	4899364	291.888	114.676
3600	4907212	299.638	114.718
3700	4914716	308.17	116.318
3800	4925368	318.34	115.693
3900	4933916	324.027	116.118
4000	4941456	331.489	117.568
4100	4947832	338.201	118.993
4200	4956372	346.179	118.159
4300	4963060	354.3	118.276
4400	4968908	363.017	118.084
4500	4975372	367.365	118.209
4600	4981732	375.725	118.876
4700	4987964	382.877	119.784
4800	4996240	391.828	120.051
4900	5004504	401.546	119.801
5000	5011128	410.489	121.434
5100	5020108	414.351	121.726
5200	5025820	420.165	122.176
5300	5032076	427.096	123.234
5400	5040640	433.971	122.517
5500	5048072	442.634	123.625
5600	5053524	447.851	124.117
5700	5059304	457.001	123.184
5800	5067740	461.926	123.659
5900	5074140	468.2	123.917
6000	5081540	475.377	126.025
6100	5087984	477.685	124.584
6200	5096740	488.801	125.017
6300	5103216	495.25	124.859
6400	5110512	502.133	126.617
6500	5118232	509.324	125.642
6600	5126316	517.786	126.95
6700	5134764	528.805	127.55
6800	5149440	543.921	127.967
6900	5159972	551.508	128.942
7000	5167700	558.224	129.5
7100	5174540	564.094	129.058
7200	5181428	573.739	130.133
7300	5187996	581.339	130.008
7400	5194492	589.955	131.166
7500	5203544	600.524	131.533
7600	5214184	612.148	133.35
7700	5220732	620.422	133.066
7800	5229620	628.272	132.875
7900	5238848	637.475	135.724
8000	5246820	646.908	133.683
8100	5256208	655.366	133.733
8200	5263764	662.265	134.858
8300	5271872	671.548	135.391
8400	5278396	678.997	136.724
8500	5288160	693.279	135.874
8600	5295468	697.758	137.249
8700	5302524	706.257	137.499
8800	5311564	716.561	137.524
8900	5317132	721.554	138.158
9000	5323404	727.133	140.249
9100	5330412	734.931	138.999
9200	5336888	741.559	139.491
9300	5343956	751.233	139.949
9400	5351020	756.644	141.107
9500	5357496	764.381	140.549
9600	5364212	771.389	142.166
9700	5372592	782.284	140.132
9800	5379692	788.004	142.599
9900	5386796	805.703	143.365
10000	5394092	804.224	143.44
