pulls output
0 33.919 0.9982910926191368
100 34.010 0.9982802733831103
200 34.214 0.9982330991849091
300 35.172 0.9982154592218269
400 35.308 0.9982015590263503
500 34.673 0.9981960781654251
600 35.712 0.9981560586402711
700 35.824 0.998153584314947
800 36.350 0.9981001875022536
900 35.443 0.998099952836507
1000 36.152 0.9980503186352455
1100 35.989 0.9980541011530546
1200 36.254 0.9980084483951526
1300 36.589 0.9979721722042108
1400 36.697 0.9979662859885159
1500 37.333 0.9979367916103643
1600 37.667 0.9979210374034528
1700 37.369 0.9979219237049132
1800 37.883 0.9978880781734273
1900 37.784 0.997868198265362
2000 38.047 0.9978487487779513
2100 37.987 0.9978352258892307
2200 39.092 0.9977494415260253
2300 38.862 0.9977768054849162
2400 38.771 0.9977386029024405
2500 39.717 0.9977129389895771
2600 39.781 0.9976948244268893
2700 39.845 0.9976485802655085
2800 40.128 0.9976322037913387
2900 40.695 0.9975917108204686
3000 41.048 0.9976292373533668
3100 40.775 0.9975424042289527
3200 41.191 0.9975264940217212
3300 41.215 0.9975419224201398
3400 42.208 0.9974658462708071
3500 42.091 0.9974302112089455
3600 42.768 0.9974191410796884
3700 42.176 0.9973931802547826
3800 43.752 0.9973274478591914
3900 43.161 0.9973105608705027
4000 43.292 0.9974226999656433
4100 45.520 0.9973728004778301
4200 45.124 0.9973238449838017
4300 46.611 0.9973408273653038
4400 45.470 0.9972934883053894
4500 46.154 0.9972628513976161
4600 46.316 0.9972487091546376
4700 45.989 0.9972637597792063
4800 47.770 0.9972371386169788
4900 47.742 0.997177714797713
5000 46.512 0.9972022352115468
5100 45.873 0.9972415137715417
5200 44.942 0.9972252416267302
5300 45.160 0.997219128795991
5400 46.538 0.9971723981571394
5500 46.992 0.9971612360264567
5600 46.405 0.997160249906552
5700 47.042 0.9971206292978371
5800 47.428 0.9970775634491789
5900 47.555 0.9970424221252812
6000 46.639 0.9970307499829781
6100 46.914 0.9969986801424723
6200 47.131 0.9969959673781165
6300 46.650 0.9969585781246686
6400 48.019 0.996956209649927
6500 47.153 0.9969250473680311
6600 48.915 0.9968821191436615
6700 49.424 0.9968540370374283
6800 49.811 0.9968584389393331
6900 49.718 0.9968176568985682
7000 49.528 0.9967747736189732
7100 50.117 0.9967637846487813
7200 49.533 0.9967352508922948
7300 50.141 0.996718030692549
7400 51.526 0.9966947433525345
7500 51.943 0.9966651075233375
7600 50.967 0.9966518242019606
7700 52.426 0.9966513766736591
7800 53.242 0.9966358450965748
7900 52.898 0.9965885092326854
8000 52.298 0.9965654932968872
8100 53.651 0.996538348125475
8200 52.601 0.9965290388187318
8300 55.098 0.996503398696467
8400 55.224 0.9964879601264335
8500 53.959 0.996470370450806
8600 54.279 0.9964323036063163
8700 55.132 0.9964196330330101
8800 55.737 0.9964088232687642
8900 55.286 0.9963814406646939
9000 55.245 0.9963693410565042
9100 55.546 0.9963370754395869
9200 56.027 0.9963180929303891
9300 56.124 0.9962993587843425
9400 56.980 0.9963815506646939
9500 57.728 0.9963728077989782
9600 56.774 0.996332287177084
9700 57.241 0.9963411265386933
9800 58.032 0.996341101286933
9900 58.543 0.9964196330127101
10000 59.261 0.9963081456794634
