pulls output
0 34.544 0.9983240045361181
100 34.722 0.99835758821561
200 34.709 0.9982964747945364
300 34.611 0.9983267303129718
400 34.708 0.9983277610944656
500 35.045 0.9983170859408113
600 35.665 0.9982909542813293
700 35.947 0.9982813692512084
800 36.052 0.9983018714438725
900 35.291 0.9983243608593264
1000 35.801 0.99829410757263
1100 35.370 0.9983220682929466
1200 35.941 0.9983267562589105
1300 36.151 0.9983141688436838
1400 36.180 0.9983043771980815
1500 35.657 0.998323838823929
1600 36.015 0.9983267028654373
1700 36.882 0.9983104382223884
1800 36.848 0.9983031756453693
1900 36.526 0.9983235971581619
2000 35.656 0.9983340274885465
2100 35.959 0.9983282627315228
2200 36.782 0.9983066605428497
2300 36.096 0.9983113959609393
2400 36.984 0.9983423613452016
2500 37.092 0.9983204460148916
2600 37.456 0.9983315287811285
2700 37.065 0.998345832839373
2800 36.400 0.9983033289284078
2900 37.521 0.9983206079863437
3000 37.019 0.9983282300549785
3100 37.330 0.9983175699752986
3200 37.157 0.9983292611829845
3300 37.681 0.9983184325326079
3400 38.558 0.9983023060068699
3500 38.352 0.9983509991102197
3600 37.962 0.9983314477157716
3700 37.800 0.9983753001805465
3800 37.304 0.9983131320971714
3900 38.190 0.9983095978610793
4000 37.458 0.9983302161127605
4100 38.218 0.9983295546858496
4200 37.692 0.9983199180511484
4300 37.721 0.9983051175
4400 37.751 0.9983066126
4500 37.781 0.9982933071
4600 37.811 0.9983066126
4700 37.840 0.9983199181
4800 37.870 0.9983332235
4900 37.900 0.9983314477
5000 37.930 0.9983332235111624
5100 37.784 0.9983335632857907
5200 37.924 0.9983359846285907
5300 37.984 0.9983104672472777
5400 37.402 0.9982882732741613
5500 38.054 0.9983054869792031
5600 38.820 0.9983051174725225
5700 38.643 0.998303052146285
5800 38.719 0.9983289439976505
5900 38.363 0.9983231465736937
6000 38.632 0.9983350157836655
6100 38.664 0.9983591479106376
6200 38.495 0.9983204073705731
6300 39.219 0.9983494798037703 
6400 37.930 0.9983777621420352
6500 39.574 0.9983313303625554
6600 38.234 0.9983653496642484 
6700 39.214 0.9983444781070769
6800 39.451 0.9983465310539487
6900 38.764 0.9983228821893473 
7000 39.679 0.9983511910294652
7100 39.824 0.998345884344909
7200 38.845 0.9983465810713058
7300 40.010 0.9983408210722049
7400 39.768 0.9983316340717397
7500 39.808 0.9983684657051491
7600 39.885 0.998345237119641
7700 40.173 0.9983814890300923
7800 40.377 0.9983624293915618
7900 39.409 0.998341307814992
8000 40.307 0.9983550412808299
8100 40.163 0.9983918279798958
8200 40.655 0.9983551121903188
8300 40.370 0.9983660062608638
8400 40.682 0.9983518678830658 
8500 41.255 0.9983612979517783
8600 41.000 0.9984007223213915 
8700 40.409 0.9983512715131052
8800 40.783 0.9983520518559874
8900 39.847 0.9983601955334751 
9000 40.240 0.998361505304937
9100 40.947 0.9983541443101156
9200 41.754 0.9983748914014731
9300 40.944 0.998364561439351
9400 41.126 0.998358087424372
9500 40.042 0.9983617384530896 
9600 41.804 0.9983668067624697
9700 40.518 0.9983636229162643
9800 40.563 0.9983667799087972
9900 40.609 0.9983708676668527
10000 40.615 0.9983637867878858
