pulls output
0 24.095 0.9983162437569707
100 24.389 0.9982694775100567
200 23.960 0.9983478160728192
300 24.765 0.9983388893313461
400 23.814 0.9982903912060441
500 24.982 0.9983032825826301
600 24.755 0.9983109731349763
700 25.059 0.9983530356547364
800 25.490 0.9983110442526796
900 25.370 0.9983262060896793
1000 25.298 0.9982943480795037
1100 25.285 0.9983289222903701
1200 25.179 0.9983020865394697
1300 25.621 0.9983039249450211
1400 25.203 0.9983260567817684
1500 24.973 0.9983203889058035
1600 25.786 0.9983166716659131
1700 25.533 0.998310468035109
1800 23.995 0.9982880407739263
1900 24.268 0.9983276673537578
2000 22.924 0.9983085341226094
2100 24.312 0.9983120510640763
2200 24.420 0.998312083470267
2300 23.102 0.9983220337662887
2400 23.171 0.9983279626481589
2500 24.846 0.9983622793951352
2600 24.576 0.9983393363578486
2700 24.775 0.9983274093441474
2800 23.518 0.9983202271079595
2900 25.080 0.998310422904586
3000 24.970 0.9982878515029783
3100 24.516 0.9982992256942985
3200 23.410 0.9983292946905383
3300 25.181 0.9983176449678929
3400 25.424 0.998352942214069
3500 23.726 0.9982578416385753
3600 25.462 0.9983259180227794
3700 25.726 0.9983021941296611
3800 25.850 0.9983337992118432
3900 25.918 0.9983120201243982
4000 26.074 0.9983076638650682
4100 24.045 0.9983285703049212
4200 25.927 0.9982812975605514
4300 25.940 0.9983101390567067
4400 26.120 0.9983107519386599
4500 26.551 0.9983231974372451
4600 26.317 0.9983082580058754
4700 25.921 0.9983237924846411
4800 26.013 0.9983100868495445
4900 26.134 0.998333244829862
5000 26.214 0.9983112752686263
5100 26.378 0.9983531859310393
5200 26.012 0.9982964114382568
5300 25.745 0.9983281908281612
5400 24.736 0.9982972308163479
5500 26.672 0.9982914766661604
5600 27.214 0.9982908965200844
5700 27.231 0.9983117197733524
5800 27.403 0.9983839169129269
5900 27.234 0.9983016931539554
6000 27.126 0.9982690865264413
6100 27.679 0.9983214786422627
6200 26.746 0.9982990355488717
6300 25.303 0.9982993270041202
6400 27.753 0.9983129080166252
6500 27.981 0.9983164911549317
6600 28.067 0.9983258726255649
6700 28.620 0.9983141858807206
6800 27.647 0.9983373888713486
6900 28.317 0.9983485442035069
7000 28.322 0.9983274933385904
7100 28.926 0.9983458821785219
7200 28.980 0.9983637161729786
7300 28.215 0.9983629614746037
7400 25.986 0.998338698502822
7500 29.162 0.9982938664657713
7600 27.953 0.9983555022723777
7700 28.484 0.9983083589928601
7800 26.398 0.9983118262228263
7900 29.749 0.9983251603960812
8000 28.201 0.9983354415642444
8100 29.659 0.9983335655099383
8200 30.002 0.9983141320080654
8300 30.167 0.9983185988672226
8400 28.545 0.9983435715593734
8500 30.217 0.998330843967668
8600 30.358 0.9983602082764684
8700 29.425 0.9983656271944654
8800 30.346 0.9983574674454411
8900 30.787 0.9983323624484575
9000 29.698 0.9983509909102136
9100 29.819 0.9983084644109406
9200 30.583 0.9983642560421004
9300 30.613 0.9983212260945389
9400 29.371 0.9984073437884341
9500 31.247 0.9983645419478471
9600 31.184 0.9983890264026403
9700 30.176 0.9983364271939525
9800 31.405 0.9983602808945945
9900 31.230 0.9983928632021198
10000 31.458 0.9983602717263996
