pulls output
0 22.756 0.9983640436910007
100 22.008 0.9983600809909862
200 21.898 0.9982942634102466
300 23.384 0.9982780259252764
400 23.169 0.9982618409243185
500 22.092 0.9982326733798559
600 22.163 0.9982919987147262
700 23.042 0.9982989556908699
800 23.235 0.9982932535791109
900 22.182 0.9982614126731774
1000 23.532 0.9982946035492216
1100 22.281 0.9982893270559534
1200 22.060 0.9982985323001511
1300 23.253 0.9982707091335021
1400 22.415 0.9982812009459041
1500 23.220 0.9982713934879337
1600 22.220 0.9982840345356359
1700 23.681 0.9983012355062137
1800 22.505 0.9982878820219707
1900 23.510 0.998314230198975
2000 23.672 0.9982862367902117
2100 23.676 0.9982860205947801
2200 23.654 0.9982747136228521
2300 22.447 0.9983308326019874
2400 22.545 0.998311664666975
2500 22.527 0.99827904340108
2600 23.543 0.9983187948579946
2700 22.514 0.9982841567091837
2800 22.691 0.9983093213645088
2900 22.375 0.9983201460467512
3000 22.815 0.9982794975907325
3100 22.554 0.9982795839454874
3200 22.727 0.9982668704406876
3300 22.744 0.9982770623237841
3400 23.675 0.9982864752819006
3500 22.816 0.9983078127670221
3600 22.500 0.9983062803979283
3700 22.674 0.998301331805395
3800 22.922 0.998289012528591
3900 22.745 0.998309106923461
4000 22.643 0.9983098793603543
4100 24.027 0.9983024207637197
4200 24.122 0.9982954876992338
4300 23.079 0.9983231594545336
4400 23.175 0.9982883732600889
4500 24.022 0.9982877420898941
4600 24.288 0.9982801345476016
4700 22.777 0.9983456940539996
4800 24.266 0.9982936052211423
4900 23.828 0.9983094140119154
5000 24.242 0.9982802730094551
5100 23.052 0.998321096213586
5200 23.061 0.9983062100054116
5300 21.590 0.9983243645664028
5400 22.619 0.9982795708472725
5500 22.991 0.9983059332564522
5600 21.928 0.9983025199761013
5700 23.009 0.9983066267043964
5800 22.028 0.9983200092689144
5900 23.516 0.9983021428205374
6000 23.119 0.9982659724624414
6100 23.557 0.9983013074044778
6200 23.596 0.9982917120841113
6300 22.476 0.9982954570659238
6400 23.877 0.9982794261039142
6500 23.369 0.9982988157440313
6600 23.726 0.9983350664805619
6700 23.978 0.9982454853749706
6800 23.905 0.9982866081469518
6900 23.551 0.9983277573454089
7000 23.193 0.9982817907411298
7100 23.994 0.998300618862577
7200 24.113 0.9982829655132738
7300 24.176 0.9982941059029703
7400 24.224 0.9982784193828028
7500 23.304 0.9983024910086282
7600 23.818 0.998258165811164
7700 24.268 0.9982536889578135
7800 23.040 0.9983138632609663
7900 24.200 0.9982966430919414
8000 23.169 0.9982606271036786
8100 24.790 0.9982840671927826
8200 24.303 0.9983127320684909
8300 24.034 0.9983087526194451
8400 24.410 0.9983152028104979
8500 24.527 0.9982740188028347
8600 24.548 0.9982777530623841
8700 24.495 0.998285855114049
8800 25.020 0.9983110892320676
8900 24.466 0.9983309968761384
9000 24.775 0.9982933422708691
9100 24.510 0.9982628931745352
9200 23.199 0.9982827635413769
9300 24.724 0.9983218397120642
9400 24.680 0.9982939814661848
9500 25.033 0.9983154628626129
9600 24.395 0.998302791270807
9700 23.482 0.9982658420269892
9800 25.094 0.9982640946298856
9900 25.139 0.9983214325236692
10000 24.466 0.998285482031523
