pulls output
0 1.897 0.9942522541940583
100 2.001 0.9939084507042254
200 2.176 0.9933013059070303
300 2.293 0.9929358122210449
400 2.462 0.9925150611574272
500 2.683 0.9918560435941196
600 2.839 0.991153034919147
700 2.937 0.9913636363636363
800 3.275 0.9905234159779615
900 3.410 0.990012551072182
1000 3.586 0.9894386498244143
1100 3.872 0.9894345579062603
1200 3.991 0.9891996333820506
1300 4.402 0.9886723950139175
1400 4.458 0.9887854927225006
1500 4.434 0.988520078101108
1600 4.830 0.9882350253575182
1700 4.897 0.9880353071314084
1800 5.025 0.9879468087429307
1900 5.144 0.9875081895610396
2000 5.204 0.9877402039720881
2100 5.592 0.9873446561723281
2200 5.511 0.9873889247289451
2300 5.727 0.9869510457745752
2400 5.905 0.9868510860400691
2500 6.166 0.9864630268983947
2600 6.491 0.9863485166028957
2700 6.708 0.9861172812083518
2800 6.738 0.9859671092613396
2900 7.100 0.9857543204110228
3000 7.256 0.9857397819441254
3100 7.478 0.9854475610389161
3200 7.601 0.9854035733142575
3300 7.939 0.9851710836130454
3400 8.255 0.9850166481687015
3500 8.469 0.9851510415005263
3600 8.741 0.9847269288359997
3700 8.937 0.9847283406754772
3800 9.254 0.9844823963742234
3900 9.479 0.9844107934430131
4000 9.670 0.9842787181787431
4100 9.945 0.9839798371911121
4200 10.051 0.9839031077318786
4300 10.310 0.9839269533700425
4400 10.376 0.9838792899078219
4500 10.630 0.9835198791457804
4600 10.615 0.983565866099314
4700 10.759 0.983495833834878
4800 11.010 0.983343508613596
4900 11.330 0.9834613342312823
5000 11.524 0.9832318646166547
5100 11.724 0.9830035936720678
5200 11.763 0.9830090922944075
5300 12.057 0.9829219396065656
5400 12.162 0.9829215431296056
5500 12.376 0.9829126976333105
5600 12.625 0.9826757194288062
5700 12.661 0.982804312838075
5800 12.901 0.9826557299096529
5900 13.017 0.9825900281909435
6000 13.281 0.9825066430469442
6100 13.379 0.9826512815181861
6200 14.242 0.9826011507900265
6300 13.685 0.9824613083773311
6400 13.979 0.9824553561450953
6500 14.121 0.9823585063164338
6600 14.401 0.9821915698697642
6700 15.324 0.9823077923767399
6800 14.957 0.9823365387673746
6900 15.174 0.9821529095344328
7000 15.739 0.9818526571790723
7100 16.198 0.9818735439571668
7200 15.805 0.9818632581107306
7300 16.518 0.9817752482441269
7400 16.721 0.9818479705091959
7500 17.595 0.9816813643680318
7600 17.596 0.9815119862018178
7700 16.794 0.9815173877393527
7800 16.972 0.9816876703971326
7900 18.840 0.981441820531932
8000 17.490 0.9814094695514473
8100 17.682 0.9814794359144299
8200 18.086 0.9813019200716485
8300 19.083 0.9813538160894583
8400 18.498 0.9813080755936616
8500 18.865 0.981248726738058
8600 19.189 0.9812044630600824
8700 19.141 0.9812418079390294
8800 19.452 0.9810729906227624
8900 19.699 0.9809193856972956
9000 20.240 0.9809761049641276
9100 19.946 0.9809925814392177
9200 21.262 0.981027787330051
9300 21.269 0.9810046011631873
9400 20.605 0.9808551847437426
9500 20.713 0.980987876802097
9600 20.903 0.9808694804878445
9700 21.252 0.9808222924761284
9800 22.765 0.9808350499763544
9900 21.410 0.9807115643120192
10000 23.573 0.9807232350751588
