pulls output
0 1.856 0.99427550499526
100 1.950 0.994320787329359
200 2.080 0.9934286687095676
300 2.341 0.9927995391705069
400 2.539 0.9922492733693784
500 2.639 0.9921024868123587
600 2.413 0.9937550994790686
700 2.503 0.9934451693072383
800 2.564 0.9925659401112136
900 2.715 0.9920205020676801
1000 2.843 0.9916436868053815
1100 3.045 0.9914546248771432
1200 3.053 0.9911056992349843
1300 2.590 0.9934042377772281
1400 2.614 0.9935222901108848
1500 2.676 0.993158273779846
1600 2.878 0.9925079501967337
1700 3.113 0.992018631915005
1800 3.122 0.9923138843447327
1900 3.083 0.9918911983577111
2000 3.286 0.9915333015099365
2100 3.583 0.991077828031932
2200 2.612 0.9939217182730048
2300 2.732 0.993462476221097
2400 2.766 0.9934356216387219
2500 3.141 0.9928935539763454
2600 3.366 0.9919511784916268
2700 3.592 0.991446308406786
2800 2.971 0.9941115256732405
2900 3.023 0.9935502642936812
3000 2.964 0.9935881807986737
3100 3.202 0.9931427490482608
3200 3.368 0.9926116878035307
3300 3.523 0.9922625278776569
3400 3.785 0.9916382366713492
3500 3.029 0.9938196771969859
3600 3.238 0.9934016242155776
3700 3.256 0.9934344577767715
3800 3.671 0.9930517621867284
3900 3.719 0.9924121998262012
4000 3.203 0.9941921858500528
4100 3.400 0.9937129627662964
4200 3.395 0.9933871069645979
4300 3.659 0.9930691420721808
4400 3.749 0.9929041226632364
4500 3.879 0.9925997816329006
4600 4.023 0.9921264587141222
4700 3.432 0.994038221852929
4800 3.545 0.9934942894318346
4900 3.749 0.9930684012602907
5000 3.962 0.9926700336038674
5100 4.161 0.9921160700449403
5200 4.164 0.9922254616132167
5300 4.340 0.9917961586719428
5400 5.888 0.9940262115208778
5500 3.703 0.9938121766812574
5600 3.634 0.9936014076903081
5700 3.750 0.993421052631579
5800 3.853 0.9930113251379343
5900 4.050 0.9928335170893055
6000 4.290 0.9924795317304487
6100 3.858 0.9939061899269511
6200 3.801 0.993590589477256
6300 3.876 0.9935058823529411
6400 4.056 0.9932945743633561
6500 4.088 0.9927681578124138
6600 4.298 0.9925491040970951
6700 4.579 0.9923216455629326
6800 4.085 0.9937961595273265
6900 4.023 0.9933919907306829
7000 4.173 0.9930894453745592
7100 4.322 0.992836398838335
7200 4.560 0.9925584937006784
7300 4.826 0.9922511960110505
7400 4.977 0.9921541014937384
7500 5.237 0.9917899541879444
7600 4.095 0.9935187920279405
7700 4.186 0.993134971970677
7800 4.395 0.9927522733815386
7900 4.851 0.9924511761554571
8000 5.058 0.9940581367148252
8100 4.180 0.9933735040309792
8200 4.366 0.9931085770946951
8300 4.400 0.99308235755871
8400 4.476 0.992736903678669
8500 4.878 0.9925644651340144
8600 4.607 0.9938873312903436
8700 4.391 0.9937915312606102
8800 4.617 0.9931616492858586
8900 4.603 0.9932619647355164
9000 4.723 0.9929737258031704
9100 4.473 0.9941895253991749
9200 4.324 0.9944036929303149
9300 4.444 0.9941227041813209
9400 4.592 0.993734374517732
9500 4.980 0.9932710960232783
9600 5.043 0.993122358394813
9700 5.190 0.9928832496359908
9800 4.586 0.9944347613368804
9900 4.474 0.994134495261891
10000 4.622 0.9937427786864337
