pulls output
0 2.002 0.9946504197934468
100 1.791 0.9950943798656287
200 1.793 0.9945152158527955
300 1.775 0.9947943075414934
400 1.938 0.9949592865451725
500 1.971 0.9953709535205946
600 2.085 0.9950656363467089
700 2.067 0.9948455126505846
800 2.092 0.9952900564608138
900 2.194 0.9953752604984442
1000 2.317 0.9954108149950238
1100 2.332 0.9956151035322777
1200 2.334 0.9955365396297177
1300 2.346 0.9953895921954201
1400 2.496 0.9957209021345147
1500 2.526 0.995448811496698
1600 2.372 0.9957344519595598
1700 2.396 0.9957896684942281
1800 2.362 0.9959184598988685
1900 2.507 0.9956126606079598
2000 2.659 0.9961432383344171
2100 2.644 0.995995360745782
2200 2.650 0.9962756858584327
2300 2.578 0.9963313380961576
2400 2.614 0.9963600403972396
2500 2.635 0.9965843244891736
2600 2.672 0.9964982295518126
2700 2.819 0.9964708163661044
2800 2.903 0.9963234593770836
2900 3.018 0.996436567164179
3000 2.927 0.9966877000795692
3100 3.136 0.9964980685223294
3200 3.046 0.9965959675307672
3300 3.018 0.9967065349280638
3400 3.146 0.9968255046089599
3500 3.354 0.99660616546607
3600 3.306 0.9966554092637006
3700 3.336 0.996618303032255
3800 3.454 0.9967867727343628
3900 3.526 0.996761060071741
4000 3.547 0.9968231240771399
4100 3.602 0.9968957349457856
4200 3.770 0.9969784550709406
4300 3.764 0.996776411931574
4400 3.809 0.9967773674228921
4500 3.825 0.9968463585296147
4600 3.903 0.9968922892540101
4700 3.949 0.997001975656595
4800 4.064 0.9968996042916004
4900 4.131 0.9970818162347398
5000 4.043 0.9972676153013543
5100 4.160 0.997047488405513
5200 4.094 0.9971921379863619
5300 4.181 0.9971744911527053
5400 4.177 0.9970955452453698
5500 4.294 0.9972050036645508
5600 4.295 0.9971108343711084
5700 4.610 0.9970883249231984
5800 4.582 0.9971955128205128
5900 4.561 0.9971517913414457
6000 4.646 0.9972743286992953
6100 4.694 0.9972055793686504
6200 4.818 0.997215036472535
6300 4.781 0.9972403759554765
6400 4.743 0.9973633748801534
6500 5.237 0.9972682221996455
6600 5.089 0.9972508437451107
6700 4.872 0.9972765807911094
6800 4.923 0.9973918713323191
6900 4.862 0.9974279890289325
7000 5.173 0.9972990015764582
7100 4.988 0.9973584472263696
7200 5.094 0.9974000247616689
7300 5.209 0.9973450152661623
7400 5.100 0.9974266126899526
7500 5.491 0.9974826745830366
7600 5.941 0.9974672523645574
7700 5.656 0.9974814033854624
7800 5.882 0.9974153228917522
7900 5.755 0.997502929256065
8000 5.866 0.9976599063962559
8100 5.916 0.9975180759000487
8200 6.000 0.9974820444683955
8300 5.909 0.9975756240013224
8400 6.000 0.9975360017521765
8500 6.239 0.9976434398582467
8600 5.656 0.9977383857616634
8700 5.819 0.9976239296683181
8800 6.013 0.9976822292581384
8900 6.148 0.9976995067881977
9000 6.238 0.9976843051187225
9100 6.246 0.9977262856704903
9200 6.338 0.9977057229935659
9300 6.625 0.9976938672072986
9400 6.045 0.9977574143911841
9500 6.090 0.9977624185768982
9600 6.215 0.9977569381792297
9700 6.243 0.9977159417442346
9800 6.695 0.9978775973105432
9900 6.897 0.9977421539850982
10000 6.992 0.9978054249894261
