pulls output
0 1.836 0.9943928571428572
100 1.786 0.9952098782954263
200 1.830 0.9948238379516201
300 1.987 0.9944230513875979
400 2.120 0.9943980250664641
500 1.938 0.9953268077044521
600 2.049 0.9945673858997576
700 1.949 0.9945902890710564
800 2.010 0.994736012608353
900 2.053 0.994601098290862
1000 2.013 0.9950452455125353
1100 2.204 0.9950455864677084
1200 2.171 0.9952804397248842
1300 2.218 0.9953007518796992
1400 2.061 0.9950010800135773
1500 2.110 0.9952118529225765
1600 2.138 0.9954817509681962
1700 2.141 0.9954970557672325
1800 2.183 0.9954289239743123
1900 2.184 0.9954263672682188
2000 2.167 0.9952378375453217
2100 2.302 0.9954882456927258
2200 2.392 0.9956302346147844
2300 2.246 0.9951279981549815
2400 2.289 0.9954687057490795
2500 2.282 0.9952849361840501
2600 2.457 0.9956119481892678
2700 2.374 0.9956199892420788
2800 2.650 0.9954131852329358
2900 2.425 0.9955185347557114
3000 2.523 0.995645965495447
3100 2.398 0.9955147372917557
3200 2.322 0.9955854959299804
3300 2.447 0.9956378123502861
3400 2.497 0.9958723102850304
3500 2.530 0.9958096590909091
3600 2.595 0.9957359041505411
3700 2.481 0.995579133510168
3800 2.474 0.9956106502025853
3900 2.552 0.9957147229874502
4000 2.730 0.9955185806540574
4100 2.605 0.9959177334546181
4200 2.518 0.9958973875318307
4300 2.612 0.9957725981196147
4400 2.638 0.9958812151553078
4500 2.635 0.9958673045392269
4600 2.732 0.9960925495016903
4700 2.689 0.9960245046923879
4800 2.918 0.9960775216685295
4900 2.670 0.9957648007887778
5000 2.766 0.9956035701661364
5100 2.801 0.9958309156942385
5200 2.753 0.9960553104852392
5300 2.822 0.9960736247299319
5400 2.855 0.9961172191114562
5500 2.851 0.9961928167113188
5600 2.933 0.996116120083226
5700 3.026 0.9961392208598479
5800 2.978 0.9963900310804811
5900 2.885 0.9959786912090873
6000 2.917 0.9960162651970195
6100 2.892 0.996357160203999
6200 3.069 0.9960602641008889
6300 3.061 0.9960598435640861
6400 3.143 0.9963189013923326
6500 3.132 0.9962316948045892
6600 2.925 0.9961758320552911
6700 3.035 0.9961189663578742
6800 3.129 0.9963515317924511
6900 3.156 0.9963362582205206
7000 3.215 0.996329644897664
7100 2.846 0.9963964669708779
7200 2.943 0.9962821716716813
7300 3.022 0.996171793162556
7400 3.076 0.996207471464429
7500 3.139 0.9962929145361578
7600 3.186 0.9964119957158157
7700 3.266 0.9965040493297964
7800 3.065 0.9964114387713361
7900 3.094 0.996322336398053
8000 3.269 0.9963024555940839
8100 3.295 0.9964679139709739
8200 3.272 0.9964310599751873
8300 3.076 0.9962512718898945
8400 3.134 0.9962757360691449
8500 3.301 0.9962460146045459
8600 3.289 0.996591867723975
8700 3.204 0.9963366129369897
8800 3.228 0.9961658643695633
8900 3.286 0.9964839779373782
9000 3.367 0.996123512899345
9100 3.497 0.9966083366103028
9200 3.456 0.9966164804921482
9300 3.310 0.9966128543021806
9400 3.358 0.9963735569085405
9500 3.347 0.9963849086367819
9600 3.535 0.9967091005409917
9700 3.486 0.996510761129879
9800 3.563 0.9966508075622887
9900 3.525 0.9966526520051746
10000 3.476 0.9965479391037368
