pulls output
0 21.233 0.998335781838215
100 21.328 0.998321878859423
200 21.513 0.9983036519900474
300 21.747 0.9982669233682185
400 21.781 0.9982798868245008
500 21.888 0.9982528708508519
600 22.736 0.9982188240386238
700 22.021 0.9982369267039362
800 21.919 0.9981794409041546
900 21.794 0.9981773194851774
1000 22.917 0.99815047050226
1100 22.332 0.99810406358991
1200 22.312 0.998110710773337
1300 22.351 0.9980471864437233
1400 22.247 0.9980485022423136
1500 22.439 0.9980083464025129
1600 22.223 0.9980023403075993
1700 23.210 0.9979913315993546
1800 22.528 0.9979364793541684
1900 23.768 0.9979472979647297
2000 22.667 0.997889055927732
2100 22.765 0.9978738277900854
2200 22.600 0.9978590878376118
2300 22.835 0.9978305560662533
2400 23.198 0.9978411846332407
2500 24.192 0.9977974767662692
2600 24.070 0.9977527791809858
2700 22.986 0.997746432682709
2800 23.045 0.9977157478380394
2900 23.166 0.9977000762216202
3000 25.529 0.9976899253854716
3100 27.613 0.9976421870201405
3200 26.477 0.9976432290950682
3300 25.491 0.9975899748227648
3400 25.724 0.9975749372894797
3500 27.845 0.9975552478926062
3600 27.075 0.9975202529036704
3700 26.049 0.9975176860782381
3800 25.812 0.9974662226648182
3900 27.231 0.9974430322629164
4000 26.117 0.9974255144892306
4100 26.013 0.9974012615298632
4200 26.194 0.9973884442185802
4300 26.157 0.9973434950883404
4400 28.210 0.9973340818133446
4500 28.306 0.9973116329529054
4600 27.450 0.9972980392411165
4700 26.165 0.9972759163145944
4800 28.438 0.9972438269274334
4900 28.780 0.997204865580424
5000 26.431 0.9971337091454402
5100 26.243 0.9971082575908238
5200 29.452 0.9971155602841453
5300 29.012 0.9971400106498102
5400 28.825 0.9971129726408042
5500 28.678 0.9970795300240389
5600 29.818 0.9970771382731017
5700 28.651 0.997065630284409
5800 30.117 0.9970447174993796
5900 28.537 0.9970023340115931
6000 28.438 0.9970059848384094
6100 27.708 0.9969973494726688
6200 28.924 0.996982205677079
6300 28.773 0.9969598746041448
6400 28.876 0.9969297078699516
6500 29.092 0.9969061116521576
6600 27.440 0.9968553325485829
6700 27.233 0.996845191543458
6800 27.395 0.9968150370078507
6900 27.426 0.9967774789457375
7000 27.623 0.9967646291470683
7100 29.319 0.996732605370048
7200 29.893 0.9966948544101818
7300 27.971 0.9966804883084923
7400 29.921 0.9966749818434432
7500 28.279 0.9966843856964841
7600 28.411 0.9966334261057941
7700 28.340 0.9966102618999938
7800 31.265 0.9965821903100958
7900 29.897 0.9965342159892492
8000 34.451 0.9965109042036435
8100 33.722 0.9964858156730121
8200 33.868 0.9964624961102028
8300 32.300 0.9966659666071616
8400 34.687 0.9963983361268917
8500 34.625 0.9963831833589084
8600 34.237 0.9963648861080712
8700 34.016 0.9963244011103415
8800 34.489 0.9963135527076159
8900 34.577 0.9963072546112797
9000 34.611 0.9963027047279472
9100 34.515 0.9962774535223358
9200 34.696 0.9962596652693031
9300 35.511 0.9962337407014362
9400 32.691 0.9962240262269634
9500 34.546 0.9962148853009237
9600 35.009 0.9953957483825369
9700 35.371 0.9951734682890061
9800 36.436 0.9949853698633062
9900 35.096 0.9947715057165759
10000 36.761 0.9941837957624786
