pulls output
0 25.685 0.9982841929705638
100 27.176 0.9982598852779448
200 26.881 0.998206752371797
300 26.899 0.9982462246060829
400 27.187 0.9982254406557116
500 27.368 0.9981632066914675
600 27.021 0.9982502515476577
700 26.345 0.9982370107335603
800 27.452 0.9982034624178855
900 29.388 0.9982050503356465
1000 27.768 0.9981468727911992
1100 26.241 0.998132646273228
1200 27.592 0.9981089446691218
1300 26.916 0.9982342354579102
1400 26.756 0.9982095444184641
1500 26.685 0.9982012477077497
1600 26.282 0.9981715449936586
1700 26.467 0.9981529464230272
1800 26.314 0.9981312456183458
1900 26.567 0.99812176231205
2000 27.728 0.9981152076521225
2100 26.639 0.9980837809194031
2200 26.489 0.9982352489833499
2300 26.109 0.9982011853004698
2400 26.549 0.9981859992946804
2500 26.373 0.9981467082410157
2600 26.789 0.9981046860429844
2700 27.018 0.998074444392322
2800 27.581 0.9980614099630761
2900 27.912 0.9982123671791064
3000 28.332 0.9981076471410597
3100 28.091 0.9981031548060686
3200 27.469 0.9980611470633921
3300 28.457 0.997989238018234
3400 29.241 0.9979561559246974
3500 27.697 0.99793979575945
3600 28.372 0.9979766801554656
3700 28.554 0.9981524105129627
3800 27.580 0.9980143670296283
3900 27.684 0.997998925060743
4000 27.693 0.9980258100067102
4100 27.799 0.997953429143169
4200 27.752 0.9981189097898913
4300 28.775 0.9980106049292172
4400 27.769 0.9980561528835757
4500 27.966 0.998049071231611
4600 28.063 0.9979503275381021
4700 28.562 0.9979811343922883
4800 27.844 0.998087373226108
4900 29.499 0.9979914475971557
5000 28.053 0.9979896652427717
5100 28.142 0.9980186155420282
5200 28.060 0.9980001789895048
5200 29.303 0.9980433625390248
5300 29.191 0.9979692120609126
5400 28.278 0.9979489932174299
5500 29.291 0.9979743727966501
5600 29.345 0.9980962341477221
5700 28.405 0.9980810429267616
5800 28.822 0.9979957507707802
5900 29.619 0.9980388155681423
6000 29.640 0.9980604100312996
6100 29.944 0.9980533969377549
6200 29.042 0.9980167276115467
6300 29.981 0.9979244577206992
6400 28.831 0.9978758279070226
6500 30.338 0.997986358923036
6600 29.664 0.9980682670461116
6700 28.828 0.9980797423819333
6800 29.988 0.9980159886037506
6900 28.918 0.9979941106474449
7000 30.497 0.9979592619166288
7100 29.188 0.9979542408608764
7200 30.331 0.9980491069524623
7300 30.406 0.9979892974491267
7400 30.844 0.9980224466005803
7500 29.991 0.9979851072195242
7600 29.193 0.9979442760150615
7700 30.139 0.9980937744581123
7800 30.436 0.9980660349996224
7900 30.238 0.9980472679244623
8000 30.626 0.9980347049273223
8100 31.062 0.9980783823473215
8200 30.819 0.9980799755633254
8300 29.229 0.9980357082514424
8400 29.501 0.9980412364395387
8500 29.724 0.9980220262975898
8600 29.885 0.9979692520874894
8700 30.535 0.9980294955465076
8800 29.441 0.9980383773039275
8900 30.846 0.998046373887292
9000 30.877 0.9980121682690322
9100 30.696 0.9980027317335659
9200 31.698 0.9980614051283165
9300 31.012 0.9980381779889861
9400 30.610 0.9980506104039725
9500 31.225 0.9980026241945541
9600 31.240 0.9979926071823652
9700 31.540 0.9979176471823652
9800 31.712 0.9978526071823652
9900 31.809 0.9978226071823652
10000 31.908 0.997801607182365
