pulls output
0 41.964 0.9983825787454229
100 35.202 0.9983515421607303
200 34.548 0.9983122382038399
300 35.098 0.9983013927898773
400 34.408 0.9984050368212203
500 34.391 0.9983992978738401
600 35.376 0.9982774203718005
700 35.617 0.9982975636571778
800 35.582 0.9983030547279
900 35.742 0.9982956094129409
1000 35.772 0.9982555840516998
1100 35.667 0.9983442212644457
1200 35.640 0.9983373516822885
1300 35.918 0.9983074893595838
1400 35.841 0.9983140960117233
1500 34.792 0.9982850209344941
1600 35.615 0.9983077273681099
1700 35.173 0.9983024042509782
1800 36.019 0.998289418267076
1900 35.672 0.9983647719358351
2000 36.364 0.9983922503994059
2100 35.727 0.9983034364125943
2200 35.890 0.9983455814219913
2300 35.471 0.9983226605513901
2400 35.433 0.9983114505744224
2500 35.400 0.9982931947186922
2600 35.242 0.9983230453137434
2700 36.136 0.9983034339753055
2800 35.991 0.9984069895018365
2900 37.094 0.9983330940287525
3000 36.137 0.9982872283238229
3100 36.097 0.9983218592990224
3200 36.245 0.998297700323392
3300 37.304 0.9981813903455694
3400 36.178 0.9983357191383345
3500 36.348 0.9983131541558001
3600 36.181 0.9983173798914057
3700 36.268 0.9983405031675183
3800 36.254 0.9983097689756416
3900 36.623 0.9983346073736153
4000 36.004 0.9983306721670311
4100 36.584 0.9981866328617834
4200 36.123 0.9983110828754989
4300 36.131 0.9983069132884971
4400 35.678 0.9982989571625177
4500 35.389 0.9983310146783689
4600 36.552 0.9983167347775972
4700 36.439 0.9983569278787203
4800 36.251 0.9983137798801556
4900 36.110 0.998318071805396
5000 36.065 0.9983120980788
5100 36.347 0.9983684516873615
5200 35.947 0.9984319918152197
5300 36.956 0.9983498368171964
5400 38.422 0.9982447414407553
5500 36.359 0.9983651625348082
5600 36.735 0.9983207089548084
5700 36.720 0.9983032340847582
5800 35.526 0.998303087647522
5900 36.653 0.9983591324051366
6000 36.743 0.9983757126352926
6100 35.968 0.9983489829069868
6200 36.047 0.998374181695433
6300 36.499 0.9983771154471617
6400 37.565 0.9983362223735529
6500 36.972 0.99840489993413
6600 38.226 0.9981806712114778
6700 37.153 0.9983384598331809
6800 37.484 0.9982782152230971
6900 36.229 0.9983210245407476
7000 36.982 0.9983185444949213
7100 36.049 0.9983152822593581
7200 36.478 0.9983411248521822
7300 37.906 0.9983184159964822
7400 37.560 0.9983552540801289
7500 37.541 0.9983610135042787
7600 36.761 0.9983227547735499
7700 37.810 0.9983046359362244
7800 36.973 0.9983032930034034
7900 36.926 0.9983055708769994
8000 36.252 0.9984193115346135
8100 36.708 0.9983406628980152
8200 37.256 0.9983236296717548
8300 36.285 0.9983116888837984
8400 36.490 0.9983108925969779
8500 37.640 0.9983388503570043
8600 37.326 0.998333821771615
8700 36.817 0.9983799815293765
8800 37.368 0.9983262816638276
8900 37.566 0.998314027946497
9000 38.111 0.9983517213585505
9100 38.130 0.9982910442607479
9200 37.170 0.9983372656234597
9300 37.727 0.9983381411923126
9400 36.154 0.9983013562831176
9500 37.329 0.9983081102226742
9600 37.591 0.9983148503403149
9700 37.648 0.9984009228896779
9800 37.056 0.9983807057979698
9900 36.804 0.9983147562309671
10000 37.281 0.9983050513842809
